State,depression,Binge drinking* prevalence†,p75,mean
Alaska,9208,18,7.8,5.5
Utah,31052,12.7,9,5.6
Indiana,57158,15.7,8,5.7
Wyoming,4864,19.8,9,5.8
Idaho,15052,16.4,8.9,5.7
Colorado,47726,19.9,7.5,5.4
Hawaii,12211,19.9,9.1,5.7
Delaware,8817,15.6,6.8,5.2
Arkansas,21631,17.5,9.5,5.9
West Virginia,12021,15.5,9.7,6.1
Alabama,36514,13.7,7.6,5.2
Arizona,54261,18.7,9.1,5.6
Kentucky,32300,14,9.2,5.8
Oklahoma,28283,14.4,8.6,5.6
Kansas,21585,18.2,8.9,5.7
Iowa,24077,23.2,9.4,5.9
Oregon,31267,19.4,7.2,5.2
Montana,7937,24,8.5,5.7
Washington,57244,16.5,7.2,5.2
Tennessee,48547,16.4,8,5.8
Maine,9968,17.7,7.3,5.2
Ohio,82304,19.9,9.1,5.7
Nevada,20857,18.7,7.5,5.1
North Dakota,5496,23.9,9.3,6
South Dakota,6325,21,9.2,5.9
Nebraska,14807,20.5,7.9,5.7
Michigan,68976,18.7,7.7,5.6
Minnesota,43772,21,8.2,5.7
Mississippi,18350,14.4,9.7,5.7
Vermont,4694,20.3,7.6,5.5
Missouri,41319,20.6,9.1,5.6
Virginia,60932,17.8,7.9,5.6
Georgia,72839,15.2,7.7,5.5
New Hampshire,9375,18.8,7.2,5.4
Texas,194741,16.9,9.2,5.7
Wisconsin,41153,21.8,8.9,5.8
California,270006,18.2,7.8,5.3
District of Columbia,5898,24.2,6.9,5
Illinois,84349,18.3,7.9,5.6
Connecticut,24889,17.2,6.5,4.9
South Carolina,31903,18.2,8,5.5
New Mexico,12358,16.8,7.5,5.4
Pennsylvania,83039,18.4,7.4,5.2
Maryland,40577,14.4,7.2,5.3
North Carolina,66304,18.1,8.2,5.4
New York,122742,17.8,7.4,5.3
Florida,125934,16.3,7.7,5.5
Massachusetts,44778,18.6,7,4.9
New Jersey,55319,16.7,7,4.9
Louisiana,23126,17.7,7.9,5.6
Rhode Island,6045,18.4,7.4,5.2
